PH-20231014-03,NO1,-1.53
PH-20231014-04,NO1,-1.72
PH-20231014-05,NO1,-2.23
PH-20231014-06,NO1,0
PH-20231014-07,NO1,0
PH-20231014-08,NO1,undefined
PH-20231014-09,NO1,7.499999999999999
PH-20231014-10,NO1,9.381741573033704
PH-20231014-11,NO1,4.107457627118643
PH-20231014-12,NO1,0.5555555555555556
PH-20231014-13,NO1,-1.2913942307692308
PH-20231014-14,NO1,-3.05
PH-20231014-15,NO1,-3.3499999999999996
PH-20231014-16,NO1,undefined
PH-20231014-17,NO1,5.01
PH-20231014-18,NO1,7.1
PH-20231014-19,NO1,11.010851063829787
PH-20231014-20,NO1,12.165891891891892
PH-20231014-21,NO1,undefined
PH-20231014-22,NO1,7.620000000000002
PH-20231014-23,NO1,7.08
PH-20231014-24,NO1,5.98
PH-20231015-01,NO1,undefined
PH-20231015-02,NO1,undefined
PH-20231015-03,NO1,undefined
PH-20231015-04,NO1,undefined
PH-20231015-05,NO1,4.7
PH-20231015-06,NO1,undefined
PH-20231015-07,NO1,4.8
PH-20231015-08,NO1,undefined
PH-20231015-09,NO1,7
PH-20231015-10,NO1,undefined
PH-20231015-11,NO1,undefined
PH-20231015-12,NO1,undefined
PH-20231015-13,NO1,undefined
PH-20231015-14,NO1,undefined
PH-20231015-15,NO1,undefined
PH-20231015-16,NO1,4.602752293577982
PH-20231015-17,NO1,undefined
PH-20231015-18,NO1,undefined
PH-20231015-19,NO1,30.163157894736838
PH-20231015-20,NO1,undefined
PH-20231015-21,NO1,undefined
PH-20231015-22,NO1,32.65
PH-20231015-23,NO1,33.5
PH-20231015-24,NO1,30.325857988165687
PH-20231008-01,NO2,16.249239999999997
PH-20231008-02,NO2,18.498396226415096
PH-20231008-03,NO2,13.130126582278484
PH-20231008-04,NO2,17.81869198312236
PH-20231008-05,NO2,46.97
PH-20231008-06,NO2,53.37
PH-20231008-07,NO2,70.99
PH-20231008-08,NO2,70.99
PH-20231008-09,NO2,70.05
PH-20231008-10,NO2,70.55
PH-20231008-11,NO2,70.9
PH-20231008-12,NO2,undefined
PH-20231008-13,NO2,undefined
PH-20231008-14,NO2,undefined
PH-20231008-15,NO2,undefined
PH-20231008-16,NO2,undefined
PH-20231008-17,NO2,70.97
PH-20231008-18,NO2,70.97
PH-20231008-19,NO2,70.96
PH-20231008-20,NO2,70.96
PH-20231008-21,NO2,70.96
PH-20231008-22,NO2,70.96
PH-20231008-23,NO2,70.96
PH-20231008-24,NO2,undefined
PH-20231009-01,NO2,67.68304347826087
PH-20231009-02,NO2,32.55547169811321
PH-20231009-03,NO2,67.30347826086957
PH-20231009-04,NO2,67.39478260869566
PH-20231009-05,NO2,62.580000000000005
PH-20231009-06,NO2,68.23043478260871
PH-20231009-07,NO2,55.285
PH-20231009-08,NO2,63.78
PH-20231009-09,NO2,90.06
PH-20231009-10,NO2,100.05402524544178
PH-20231009-11,NO2,119.78603797468357
PH-20231009-12,NO2,88.23243589743589
PH-20231009-13,NO2,88.01375
PH-20231009-14,NO2,92.59514079895222
PH-20231009-15,NO2,92.2935993615323
PH-20231009-16,NO2,85.75906610703043
PH-20231009-17,NO2,81.39355850422194
PH-20231009-18,NO2,74.34267567567568
PH-20231009-19,NO2,76.41292817679557
PH-20231009-20,NO2,59.96
PH-20231009-21,NO2,71.33578947368422
PH-20231009-22,NO2,78.92719026548671
PH-20231009-23,NO2,54.71816176470588
PH-20231009-24,NO2,37.84313725490196
PH-20231010-01,NO2,59.99
PH-20231010-02,NO2,43.363116883116874
PH-20231010-03,NO2,45.35835616438356
PH-20231010-04,NO2,60.63125
PH-20231010-05,NO2,65
PH-20231010-06,NO2,50.79970238095238
PH-20231010-07,NO2,83.98
PH-20231010-08,NO2,96.24682585905647
PH-20231010-09,NO2,94.43333333333334
PH-20231010-10,NO2,90.60793650793651
PH-20231010-11,NO2,71.31616161616164
PH-20231010-12,NO2,46.163233333333324
PH-20231010-13,NO2,50.95735294117647
PH-20231010-14,NO2,42.76528301886792
PH-20231010-15,NO2,37.985519999999994
PH-20231010-16,NO2,34.15103011093503
PH-20231010-17,NO2,42.3588503649635
PH-20231010-18,NO2,37.58534039334343
PH-20231010-19,NO2,26.655819209039553
PH-20231010-20,NO2,19.603835616438356
PH-20231010-21,NO2,15.20340136054422
PH-20231010-22,NO2,7.851107266435986
PH-20231010-23,NO2,8.206415094339624
PH-20231010-24,NO2,8.022124833997344
PH-20231011-01,NO2,8.98
PH-20231011-02,NO2,9
PH-20231011-03,NO2,1.5691999999999997
PH-20231011-04,NO2,0.6137931034482759
PH-20231011-05,NO2,1.0516645807259073
PH-20231011-06,NO2,5.522519083969466
PH-20231011-07,NO2,11.812682926829266
PH-20231011-08,NO2,14.83942604856512
PH-20231011-09,NO2,31.23650145772595
PH-20231011-10,NO2,10.067549019607842
PH-20231011-11,NO2,7.51175983436853
PH-20231011-12,NO2,1.9130063291139237
PH-20231011-13,NO2,3.066666666666667
PH-20231011-14,NO2,2.307195571955719
PH-20231011-15,NO2,4.021155083655079
